127.0.0.1 - - [08/Mar/2017:05:03:14 +0100] "GET /libs/simpledrag/simpledrag.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Mar/2017:05:03:14 +0100] "GET /libs/calendar/calendar.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Mar/2017:05:03:14 +0100] "GET /libs/split/vertical.png HTTP/1.1" 304 -
127.0.0.1 - - [08/Mar/2017:05:06:21 +0100] "GET /no.php HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2017:05:06:23 +0100] "GET /calendrier HTTP/1.1" 200 101931
127.0.0.1 - - [08/Mar/2017:05:06:23 +0100] "GET /style/style.css HTTP/1.1" 304 -
127.0.0.1 - - [08/Mar/2017:05:06:23 +0100] "GET /style/layout.css HTTP/1.1" 304 -
127.0.0.1 - - [08/Mar/2017:05:06:23 +0100] "GET /style/pastel-theme.css HTTP/1.1" 304 -
127.0.0.1 - - [08/Mar/2017:05:06:23 +0100] "GET /libs/jquery-ui-1.12.1/jquery-ui.min.css HTTP/1.1" 304 -
127.0.0.1 - - [08/Mar/2017:05:06:23 +0100] "GET /libs/zquery/zquery.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Mar/2017:05:06:23 +0100] "GET /libs/jquery-ui-1.12.1/external/jquery/jquery.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Mar/2017:05:06:23 +0100] "GET /libs/jquery-ui-1.12.1/jquery-ui.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Mar/2017:05:06:23 +0100] "GET /libs/split/split.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Mar/2017:05:06:23 +0100] "GET /style/roadmaps.css HTTP/1.1" 304 -
127.0.0.1 - - [08/Mar/2017:05:06:23 +0100] "GET /iconfont/material-icons.css HTTP/1.1" 304 -
127.0.0.1 - - [08/Mar/2017:05:06:23 +0100] "GET /libs/screendebug/css/screendebug.css HTTP/1.1" 304 -
127.0.0.1 - - [08/Mar/2017:05:06:23 +0100] "GET /libs/simpledrag/simpledrag.js HTTP/1.1" 304 -
127.0.0.1 - - [08/Mar/2017:05:06:23 +0100] "GET /libs/screendebug/js/screendebug.js HTTP/1.1" 304 -
